Id|Name|Department|Aisle
454|Sloppy Joe Sauce|pantry|preserved dips spreads
455|Ibuprofen Liquid Gels|personal care|muscles joints pain relief
456|Sparkling Blueberry|beverages|soft drinks
457|Whole Wheat Fig Bar|breakfast|breakfast bars pastries
458|Total Advanced Floss Tip Medium Toothbrush|personal care|oral hygiene
459|Honey Vanilla Greek Yogurt|dairy eggs|yogurt
460|Acai Dragonfruit Melon Green Tea|beverages|tea
461|Sore Throat Wild Cherry Lozenges|personal care|cold flu allergy
462|Fiber 4g Gummy Dietary Supplement|personal care|digestion
463|Salt Free Seasoning|pantry|spices seasonings
464|Liquid Water Enhancer Peach Green Tea With Ginseng & Honey|beverages|cocoa drink mixes
465|100% Natural Just Peaches|snacks|fruit vegetable snacks
466|Old Fashioned Vegetable Beef Soup|canned goods|soup broth bouillon
467|Soup, Lower Sodium, Organic, Split Pea|canned goods|soup broth bouillon
468|Kabocha Squash|produce|fresh vegetables
469|Whipping Cream|dairy eggs|cream
470|Lite Beer|alcohol|beers coolers
471|Half 'n Half Lemonade Tea|beverages|tea
472|Fancy Diced Hot Chilies|missing|missing
473|Plastic Measuring Cups|household|kitchen supplies
474|Lavender Body Wash|personal care|soap
475|Organic Reposado Tequila|alcohol|spirits
476|Chub Mackerel|canned goods|canned meat seafood
477|Naturally Aged Cheddar Cheese Block Hot Habanero|dairy eggs|packaged cheese
478|Organic Pitted Kalamata Olives|pantry|pickled goods olives
479|Most Wanted Cabernet Sauvignon Red Wine|alcohol|red wines
480|Slow Churned Mint Chocolate Chip Ice Cream|frozen|ice cream ice
481|Black Peppercorns|pantry|spices seasonings
482|Gentle Clean Foaming Face Cleanser, 6.7 fl oz Female Skin Care|personal care|facial care
483|\""Constant Comment\"" Decaffeinated Black Tea Blend|beverages|tea
484|Plain Greek Goat Yogurt|dairy eggs|yogurt
485|Country Stew Choice Cuts In Gravy Dog Food|pets|dog food care
486|Lowfat Raspberry Kefir Probiotic Cultured Milk Smoothie|dairy eggs|yogurt
487|Can/Bottle Opener, Chrome|household|kitchen supplies
488|Organic Orange Turmeric Juice|beverages|refrigerated
489|Dough for Turnover Pastries|frozen|frozen breads doughs
490|Gin Gins Candy|snacks|candy chocolate
491|Pompelmo Water|missing|missing
492|Couscous, Israeli, Garlic Jalapeno|dry goods pasta|grains rice dried goods
493|Pear and Blueberry Baby Breakfast|babies|baby food formula
494|Yellow Cherry Tomato|produce|fresh vegetables
495|Pure Cane Granulated W/Spout Sugar|pantry|baking ingredients
496|Designer 9 Oz. Paper Cups|household|plates bowls cups flatware
497|Mascarpone Pistachio Caramel Gelato|frozen|ice cream ice
498|Daily Moisture Shampoo|personal care|hair care
499|Aspirin 325 Mg|personal care|muscles joints pain relief
500|Non-Scratch Scrub Sponges|household|cleaning products
